departamento,ciudad,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Total
Santander,Barrancabermeja,0,0,1,3,10,5,39,41,19,54,26,13,26,14,3,0,0,0,0,0,0,0,16,14,15,1,0,0,1,1,1,303
Norte de Santander,Cúcuta,1,0,2,3,1,4,11,9,29,85,9,1,0,2,6,11,0,0,0,0,0,0,12,11,6,2,4,7,7,15,7,245
Arauca,Tame,1,1,3,1,2,2,3,10,23,30,41,17,11,8,6,6,1,1,1,1,2,0,1,5,2,2,0,1,9,4,11,206
Antioquia,Medellín,2,0,2,5,1,5,7,20,59,34,18,6,12,8,8,3,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,193
Bogotá,Bogotá,5,2,3,4,1,4,5,11,14,10,16,22,12,4,8,4,0,0,1,0,0,0,4,5,2,2,11,6,2,1,0,159
Norte de Santander,Tibú,0,0,0,0,1,8,23,22,22,20,15,10,3,0,1,0,1,0,1,0,1,0,1,3,4,3,3,5,1,8,1,157
Magdalena,Ciénaga,1,0,1,0,0,0,10,8,14,51,43,18,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,149
Risaralda,Pereira,0,0,0,0,0,0,0,1,3,14,42,74,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,137
Valle del Cauca,Buenaventura,0,1,0,0,1,0,20,10,7,17,33,13,2,7,1,0,2,2,1,0,0,0,3,8,0,0,0,0,3,3,1,135
Atlántico,Barranquilla,0,0,1,0,0,3,0,4,6,35,20,21,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,10,29,134
Bolívar,El Carmen de Bolívar,1,0,0,1,1,6,17,4,12,36,16,18,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,8,1,126
Arauca,Saravena,1,1,0,3,1,0,0,3,9,29,14,10,4,3,23,3,2,1,0,0,0,0,3,0,2,1,0,1,4,0,2,120
Magdalena,Santa Marta,0,0,0,1,0,1,1,4,11,36,23,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3,116
Bolívar,Cartagena,1,1,0,1,0,0,0,3,7,33,31,16,0,1,0,0,0,0,0,0,0,0,3,1,1,1,2,1,0,4,0,107
Caquetá,San Vicente del Caguán,0,0,0,1,1,1,1,2,34,13,20,3,3,3,3,1,1,1,0,2,0,1,1,0,1,3,0,2,2,0,2,102
Antioquia,San Carlos,0,1,0,1,5,10,21,24,19,7,8,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98
Meta,El Castillo,0,0,1,0,1,1,2,3,20,42,15,7,1,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,98
Valle del Cauca,Cali,0,0,1,0,0,3,7,5,10,11,28,4,5,4,3,2,0,2,0,0,0,0,0,0,1,0,1,6,0,1,0,94
Meta,Vista Hermosa,0,0,0,0,2,0,1,1,27,5,13,8,17,9,5,1,1,0,2,0,0,1,0,0,0,0,0,0,1,0,0,94
Bolívar,San Pablo,0,0,0,1,0,10,6,7,6,7,8,7,2,7,0,0,0,0,0,0,0,0,1,5,1,2,4,1,4,7,5,91
Nariño,Tumaco,0,0,0,0,0,0,19,5,4,1,9,4,0,3,1,1,1,2,1,2,3,1,2,7,17,5,0,1,0,0,1,90
Antioquia,Apartadó,1,2,3,3,0,4,15,6,11,2,12,10,2,4,2,0,0,0,0,0,0,0,0,0,1,0,2,2,0,4,3,89
Magdalena,Zona Bananera,0,0,0,0,0,3,0,12,9,41,15,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88
Antioquia,Cocorná,0,0,0,0,1,1,9,21,21,14,10,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,87
Antioquia,Ituango,0,2,2,2,0,0,5,6,6,14,14,6,5,0,1,0,0,0,0,0,2,0,0,1,1,1,1,2,5,6,0,82
Arauca,Arauquita,1,0,1,3,0,2,4,3,6,9,1,3,4,0,20,1,1,1,0,0,0,1,0,0,4,1,1,4,1,1,4,77
Huila,Neiva,1,1,1,0,0,0,5,4,7,14,17,13,0,2,3,0,4,2,0,0,0,1,0,0,0,0,0,0,1,0,1,77
Caldas,Samaná,0,0,0,0,0,2,1,2,16,20,18,12,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74
Cesar,Valledupar,0,0,0,0,0,0,10,5,17,18,14,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,74
Antioquia,Granada,0,0,1,0,0,1,6,4,16,23,9,10,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,72
Antioquia,Urrao,2,0,2,2,2,1,15,2,5,19,2,16,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,71
Cauca,Argelia,0,0,0,2,0,0,2,0,1,3,2,4,0,1,0,1,0,1,1,0,0,1,0,0,1,3,6,15,3,4,18,69
Sucre,Ovejas,0,0,0,0,0,0,9,5,9,14,9,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,69
Putumayo,Puerto Asís,0,0,0,0,3,0,3,2,10,4,6,4,4,2,4,0,2,0,1,0,0,0,0,0,0,2,3,2,0,14,2,68
Antioquia,Yondó,0,0,1,0,0,0,24,6,10,3,8,0,0,1,2,4,0,0,0,0,0,0,0,2,1,1,0,0,0,2,3,68
Huila,Algeciras,0,0,0,0,0,0,4,1,20,10,9,15,0,1,4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,66
Valle del Cauca,Tuluá,0,0,0,0,0,7,18,6,12,8,7,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,66
Cauca,El Tambo,0,0,0,0,0,0,1,15,9,7,8,2,2,1,1,0,1,0,0,0,0,1,0,1,1,0,9,1,4,1,1,66
Tolima,Ibagué,0,0,0,0,0,1,6,6,9,7,16,12,3,1,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,65
Caldas,Anserma,0,0,0,0,0,0,1,4,1,21,13,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65
Antioquia,Antioquia department,2,0,5,2,2,6,6,4,7,8,1,4,5,2,1,2,3,0,1,1,2,0,0,0,0,0,1,0,0,0,0,65
Antioquia,Dabeiba,1,0,3,1,1,9,9,3,12,7,3,9,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,64
Antioquia,Remedios,0,0,0,2,1,1,8,10,5,4,6,5,5,4,3,0,0,0,0,0,0,0,0,1,0,2,0,0,2,0,3,62
Antioquia,San Luis,1,0,0,1,0,2,9,6,19,9,7,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62
Caquetá,Florencia,0,0,0,0,0,0,4,5,16,14,15,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,62
Magdalena,Aracataca,0,0,0,0,0,0,1,2,4,34,8,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61
Cauca,Corinto,0,0,0,0,0,0,1,2,7,3,6,5,0,1,3,2,0,1,0,0,0,0,0,2,1,5,2,7,0,5,7,60
Antioquia,San Francisco,0,0,0,1,1,4,2,5,4,23,12,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,60
Huila,Pitalito,0,0,0,1,0,0,4,1,12,6,19,9,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,60
Cauca,Santander de Quilichao,0,0,0,0,0,1,7,14,4,7,3,1,0,0,0,0,1,2,0,0,2,0,0,0,1,0,2,1,0,5,7,58
Arauca,Arauca,0,1,0,1,0,0,2,4,13,12,7,6,2,1,1,0,0,0,0,0,0,0,1,1,2,0,1,1,0,1,0,57
Cesar,Aguachica,0,1,0,2,0,1,10,9,4,4,1,2,4,10,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,57
Norte de Santander,Teorama,0,0,0,0,0,2,1,3,15,7,2,4,2,4,1,0,0,0,0,0,0,1,0,1,1,3,1,4,1,0,3,56
Caquetá,Puerto Rico,0,0,0,1,0,2,1,6,10,6,8,12,2,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,55
Arauca,Fortul,1,0,0,0,0,0,3,3,2,10,4,2,1,5,8,0,1,1,0,1,0,0,3,0,3,0,0,1,4,0,1,54
Norte de Santander,El Tarra,0,0,1,0,0,0,2,10,9,10,9,2,0,0,0,2,0,0,0,0,1,0,1,0,2,1,2,1,0,0,0,53
Guaviare,San José del Guaviare,0,0,2,1,0,0,0,5,3,10,15,1,1,0,9,2,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,53
Antioquia,Sonsón,0,0,2,0,1,0,6,8,6,12,6,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,52
Córdoba,Tierralta,1,0,0,0,0,4,6,8,1,4,12,2,0,3,1,0,0,0,0,1,0,0,1,0,0,1,0,0,2,4,0,51
Cauca,Caloto,1,0,0,1,0,0,2,5,4,1,0,2,1,0,0,1,0,4,2,2,0,0,1,0,3,1,5,2,0,11,2,51
Magdalena,Fundación,0,0,0,1,1,0,3,0,5,25,9,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,49
Caldas,Manizales,0,0,0,0,1,0,1,1,14,3,10,17,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49
Cesar,Agustín Codazzi,0,0,1,2,0,2,7,9,13,6,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,49
Chocó,Ríosucio,1,0,1,2,0,5,8,4,10,0,0,1,1,1,0,0,0,0,0,0,0,0,1,8,1,1,1,0,0,0,2,48
Córdoba,Montería,0,0,0,0,0,2,0,2,2,18,9,7,1,2,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,47
Antioquia,Segovia,0,1,3,1,1,2,6,8,3,2,0,1,1,0,2,0,0,0,1,0,0,2,1,1,0,0,0,1,2,6,2,47
Meta,Puerto Rico,0,0,0,0,0,0,3,2,3,12,1,9,4,6,2,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,46
