departamento,municipio,mine_count,mine_incidents,demining_count,matched
AMAZONAS,LA CHORRERA,1,0,1,True
AMAZONAS,LA PEDRERA,0,0,0,True
AMAZONAS,PUERTO ARICA,0,0,0,True
AMAZONAS,PUERTO SANTANDER,1,1,0,True
ANTIOQUIA,ABEJORRAL,25,5,20,True
ANTIOQUIA,ABRIAQUÍ,3,2,1,True
ANTIOQUIA,ALEJANDRÍA,10,6,4,True
ANTIOQUIA,AMALFI,79,22,57,True
ANTIOQUIA,ANDES,1,0,1,True
ANTIOQUIA,ANGELÓPOLIS,1,0,1,True
ANTIOQUIA,ANGOSTURA,64,17,47,True
ANTIOQUIA,ANORÍ,508,115,393,True
ANTIOQUIA,ANZÁ,1,0,1,True
ANTIOQUIA,APARTADÓ,112,38,74,True
ANTIOQUIA,ARGELIA,127,45,82,True
ANTIOQUIA,BARBOSA,3,0,3,True
ANTIOQUIA,BELLO,2,1,1,True
ANTIOQUIA,BETULIA,1,0,1,True
ANTIOQUIA,BRICEÑO,120,30,90,True
ANTIOQUIA,BURITICÁ,6,2,4,True
ANTIOQUIA,CAICEDO,5,0,5,True
ANTIOQUIA,CALDAS,4,0,4,True
ANTIOQUIA,CAMPAMENTO,127,28,99,True
ANTIOQUIA,CARACOLÍ,4,2,2,True
ANTIOQUIA,CARAMANTA,1,1,0,True
ANTIOQUIA,CAREPA,21,3,18,True
ANTIOQUIA,CARMEN DE VIBORAL,42,13,29,True
ANTIOQUIA,CAROLINA,1,0,1,True
ANTIOQUIA,CAUCASIA,7,4,3,True
ANTIOQUIA,CAÑASGORDAS,7,5,2,True
ANTIOQUIA,CHIGORODÓ,16,8,8,True
ANTIOQUIA,CISNEROS,2,2,0,True
ANTIOQUIA,CIUDAD BOLÍVAR,1,0,1,True
ANTIOQUIA,COCORNÁ,88,48,40,True
ANTIOQUIA,CONCEPCIÓN,4,2,2,True
ANTIOQUIA,CÁCERES,145,40,105,True
ANTIOQUIA,DABEIBA,176,75,101,True
ANTIOQUIA,DON MATÍAS,1,0,1,True
ANTIOQUIA,EL BAGRE,71,28,43,True
ANTIOQUIA,FRONTINO,26,8,18,True
